id;y_predito;y_probabilidade
242308;1;0.89
281176;1;0.93
119180;1;0.62
145707;1;0.92
233589;1;0.68
35066;1;0.86
98724;1;0.64
58356;0;0.47
269849;1;0.85
12360;1;0.77
208399;1;0.75
234688;1;0.78
267749;1;0.85
244266;0;0.42
136805;1;0.82
156741;1;0.7
564;1;0.65
115955;1;0.69
28304;1;0.86
147013;1;0.74
235257;1;0.72
257805;1;0.95
22126;1;0.79
100642;1;0.91
275224;1;0.82
53373;1;0.64
252371;1;0.77
116232;1;0.68
252473;1;0.8
37619;1;0.85
235766;1;0.84
129823;1;0.8
84211;1;0.83
200851;1;0.78
138805;1;0.83
142742;1;0.74
121301;0;0.45
57948;1;0.87
260556;1;0.78
162888;1;0.93
145614;1;0.84
32625;1;0.8
151936;0;0.49
48543;1;0.71
74300;1;0.59
174986;1;0.7
230048;1;0.62
40242;0;0.5
191805;1;0.7
242296;1;0.71
86151;1;0.82
126362;1;0.64
168407;1;0.64
128775;1;0.68
106320;1;0.85
256517;1;0.68
248591;1;0.71
6325;1;0.88
164207;1;0.9
118536;1;0.71
148008;1;0.77
55769;1;0.85
242173;1;0.64
96708;1;0.76
1158;1;0.72
124217;1;0.88
203373;1;0.82
273750;1;0.53
208861;1;0.72
160363;1;0.91
265843;1;0.71
146239;1;0.94
195752;0;0.5
43293;1;0.69
184587;1;0.6
60948;1;0.94
280406;1;0.65
276358;1;0.51
152486;1;0.68
36659;1;0.87
260630;1;0.8
174400;1;0.79
287568;1;0.79
24676;1;0.96
262741;1;0.9
263380;1;0.61
12923;1;0.64
104951;1;0.86
220377;1;0.65
249212;1;0.6
108909;1;0.86
63397;1;0.61
243614;1;0.74
156705;1;0.68
143171;1;0.67
104771;1;0.74
157187;1;0.62
176226;1;0.85
155047;1;0.53
255423;1;0.84
92126;1;0.86
60284;1;0.75
123727;1;0.91
179342;1;0.62
176675;1;0.89
23013;1;0.92
270220;1;0.67
118998;1;0.87
234776;1;0.63
232850;1;0.73
80246;1;0.84
145979;0;0.42
116789;1;0.84
21133;1;0.91
58371;1;0.88
167774;1;0.9
88726;1;0.74
244506;1;0.77
6179;1;0.73
101;1;0.57
255191;1;0.77
102186;1;0.83
151502;1;0.84
105777;1;0.95
207517;1;0.62
55102;1;0.72
105330;1;0.67
168193;1;0.86
36009;1;0.91
148925;1;0.76
86679;1;0.97
53594;1;0.74
27541;1;0.95
239437;1;0.68
145177;1;0.89
246011;1;0.86
251079;1;0.89
23486;1;0.68
65364;1;0.69
76357;1;0.67
288715;1;0.87
31469;1;0.71
41110;1;0.86
111273;1;0.82
260038;1;0.82
221703;0;0.43
5507;1;0.7
269665;1;0.89
226913;1;0.69
66147;1;0.65
12636;1;0.8
1759;1;0.95
138914;1;0.77
94846;1;0.72
107151;1;0.9
12211;1;0.87
76137;1;0.52
179449;1;0.95
287269;1;0.7
96092;1;0.63
7169;1;0.53
19083;1;0.86
202203;1;0.88
1207;1;0.66
87266;1;0.83
214764;0;0.49
201744;1;0.79
249248;1;0.84
20749;1;0.64
269676;1;0.6
60595;1;0.94
173240;1;0.75
197120;1;0.8
160713;1;0.89
263928;1;0.55
160685;1;0.9
23553;1;0.89
62661;1;0.81
238729;1;0.9
200547;1;0.77
73650;1;0.6
274469;1;0.82
76074;1;0.7
36043;1;0.68
49087;1;0.94
234446;1;0.67
17372;1;0.58
153846;1;0.91
7631;1;0.82
158941;1;0.86
204837;1;0.82
261566;1;0.63
25351;1;0.8
200886;1;0.76
130125;1;0.71
148621;1;0.54
26098;1;0.51
218324;1;0.85
13295;1;0.84
110433;1;0.76
214817;1;0.88
188102;1;0.82
139666;1;0.85
42800;1;0.88
47628;1;0.85
31391;1;0.78
148768;1;0.76
108701;1;0.78
182657;0;0.47
147659;1;0.66
271960;0;0.39
61487;1;0.7
28410;1;0.8
112460;1;0.77
222383;1;0.66
135384;1;0.85
138636;1;0.64
86177;1;0.85
148624;1;0.91
157439;1;0.82
253123;1;0.94
258226;1;0.82
145662;1;0.85
134516;1;0.73
140466;0;0.44
134678;1;0.58
86800;1;0.97
60219;1;0.84
50439;1;0.97
191211;1;0.78
280741;1;0.95
145491;1;0.86
75795;1;0.81
227030;1;0.82
265330;1;0.69
107186;0;0.45
137201;1;0.75
242938;1;0.78
111969;1;0.81
243092;1;0.9
219179;1;0.81
195608;1;0.85
143424;1;0.54
221383;1;0.81
286619;1;0.87
202216;1;0.83
235492;1;0.85
230386;1;0.75
63602;0;0.47
266952;1;0.96
197618;1;0.69
197868;1;0.97
182300;1;0.55
199273;0;0.4
155823;1;0.68
203429;1;0.83
228749;1;0.85
211868;1;0.87
16923;1;0.69
92250;1;0.62
157130;1;0.88
263047;1;0.56
172663;1;0.84
273539;1;0.92
54636;1;0.78
224151;1;0.83
252773;1;0.76
74301;1;0.85
52652;1;0.88
39022;1;0.82
175529;1;0.67
133301;0;0.46
108453;1;0.56
110982;0;0.45
247735;1;0.61
113918;1;0.9
79163;1;0.72
240024;1;0.82
423;1;0.68
6909;1;0.68
56020;1;0.74
212828;1;0.82
263649;0;0.5
38816;1;0.87
276420;1;0.57
107046;1;0.81
130943;1;0.71
10471;1;0.96
207923;1;0.69
124777;1;0.54
212005;1;0.95
200919;1;0.82
37390;1;0.88
31315;1;0.83
38393;1;0.88
255221;1;0.71
110677;1;0.95
55798;1;0.82
112264;1;0.88
283147;1;0.85
228298;1;0.81
162376;1;0.84
55458;1;0.89
132872;1;0.82
236634;1;0.86
195681;1;0.65
145903;1;0.88
117398;1;0.64
74116;1;0.83
39551;1;0.87
277938;1;0.59
178804;1;0.65
270945;1;0.56
91849;1;0.85
55830;1;0.77
4333;1;0.52
261700;1;0.72
288329;1;0.73
105227;1;0.56
160666;1;0.71
214887;1;0.9
174442;1;0.76
248459;1;0.86
56276;1;0.84
288118;1;0.55
60156;1;0.82
267888;1;0.68
104567;1;0.81
223167;1;0.95
202597;1;0.82
85803;1;0.93
77165;1;0.77
42143;1;0.85
155031;1;0.8
242052;1;0.57
223744;1;0.88
127836;1;0.6
32410;1;0.75
195309;1;0.77
188813;1;0.76
178141;1;0.7
229351;1;0.89
57403;1;0.71
215256;1;0.83
82369;1;0.61
192265;1;0.86
68604;1;0.87
34213;1;0.83
170718;1;0.61
251420;1;0.89
103668;1;0.82
66502;1;0.86
90302;1;0.76
90200;1;0.74
121073;1;0.76
256271;1;0.8
204639;1;0.73
12907;0;0.34
282582;1;0.69
145290;1;0.75
96311;1;0.81
76495;1;0.78
129618;1;0.83
167910;1;0.69
130936;1;0.72
120734;1;0.82
287579;1;0.73
166781;1;0.64
226771;1;0.87
283911;1;0.66
147995;1;0.54
79921;1;0.85
117317;1;0.67
88303;1;0.87
272512;1;0.86
227717;1;0.83
64181;1;0.58
240134;1;0.89
144961;1;0.84
